Obs;HHMMSS;Treatment;Tree;aux1;FTime;EBal?;Photo;Cond;Ci;Trmmol;VpdL;CTleaf;Area;BLC_1;StmRat;BLCond;Tair;Tleaf;TBlk;CO2R;CO2S;H2OR;H2OS;RH_R;RH_S;Flow;PARi;PARo;Press;CsMch;HsMch;StableF;BLCslope;BLCoffst;f_parin;f_parout;alphaK;Status;fda;Trans;Tair_K;Twall_K;R(W/m2);Tl-Ta;SVTleaf;h2o_i;h20diff;CTair;SVTair;CndTotal;vp_kPa;VpdA;CndCO2;Ci_Pa;Ci/Ca;RHsfc;C2sfc;AHs/Cs
1;14:28:52;;c26;0;153,5;1;15,05143433;0,120949392;173,3242678;2,6745224;2,043150189;27,12172601;2,6;5;0;5;27,88924408;26,61149597;27,93524933;400,589447;386,6704712;14,55346203;16,82879829;35,81925201;41,41934967;300,471405;1500,44873;141,9712677;92,79794312;16,76544571;0,572687507;1;0;5;1;0;0,159999996;111115;1,15565925;0,002674522;299,761496;301,0392441;240,0717915;0,510230034;3,604828056;38,84599093;22,01719263;26,61149597;3,498299935;0,118092743;1,561677867;1,936622068;0,074059408;16,08413554;0,448248006;43,07587726;382,6065839;0,016945703
2;14:30:53;;c26;0;274,5;1;11,0168327;0,121126969;133,5752898;2,679291755;2,043818508;27,14090441;2,6;5;0;5;27,87638474;26,63375664;27,92797661;299,9697876;289,7650452;14,58570957;16,86502075;35,92623138;41,54043198;300,4712219;1499,15686;142,3669586;92,79966736;16,76544571;0,572687507;1;0;5;1;0;0,159999996;111115;1,155658546;0,002679292;299,7837566;301,0263847;239,8650923;0,507147773;3,608886824;38,88900603;22,02398528;26,63375664;3,502889614;0,118262025;1,565068316;1,937821298;0,074165932;12,39574246;0,460977927;43,12095273;286,7905003;0,016564577
3;14:32:54;;c26;0;396;1;7,165559364;0,124989195;114,0760273;2,663986461;1,971620023;26,78945432;2,6;5;0;5;27,82854652;26,26491165;27,9360466;220,1634216;213,4710236;14,5823307;16,84862518;36,01767349;41,61531448;300,4757385;1500,800171;144,4292603;92,79798126;16,76544571;0,572687507;1;0;5;1;0;0,159999996;111115;1,155675917;0,002663986;299,4149117;300,9785465;240,128022;0,52454267;3,535138428;38,09499279;21,24636761;26,26491165;3,42751577;0,121940935;1,563518404;1,863997366;0,076481212;10,58602505;0,534386473;44,05108784;211,5363225;0,01492182
4;14:35:24;;c26;0;545;1;1,014804312;0,128943725;121,7100321;2,672120671;1,919160363;26,49079604;2,6;5;0;5;27,68060875;25,96180534;27,93134117;140,1971893;138,9978943;14,47721291;16,75028229;36,06722641;41,7301445;300,5249634;1499,368408;155,1657104;92,79515839;18,41215897;0,597351432;0,666666687;0;5;1;0;0,159999996;111115;1,155865244;0,002672121;299,1118053;300,8306087;239,89894;0,528990699;3,473505461;37,43196867;20,68168638;25,96180534;3,366639788;0,125702028;1,554345098;1,81229469;0,078848721;11,2941017;0,875625006;44,63781976;138,7238971;0,003265382
5;14:37:54;;c26;0;695,5;1;-1,567094904;0,132921569;78,13580552;2,697461678;1,881450485;26,25740527;2,6;5;0;5;27,63588715;25,72394562;27,93809128;59,94260025;61,15589142;14,34925365;16,6445713;35,84224701;41,57559967;300,4667053;1499,917114;192,6413574;92,79579163;16,91073227;0,590338111;0,666666687;0;5;1;0;0,159999996;111115;1,155641174;0,002697462;298,8739456;300,7858871;239,9867329;0,533459649;3,425996656;36,91974168;20,27517038;25,72394562;3,319531383;0,129479446;1,54454617;1,774985213;0,081227024;7,250673927;1,277649687;45,0331092;61,57900704;-0,011460262
6;14:40:25;;c26;0;846,5;1;15,07119651;0,132118769;190,358534;2,715322971;1,905053267;26,34666338;2,6;5;0;5;27,68039322;25,81859589;27,94509697;400,6566467;386,7076111;14,27422714;16,5847187;35,56344604;41,31990814;300,4881897;1499,373535;224,7656555;92,79899597;16,91073227;0,590338111;1;0;5;1;0;0,159999996;111115;1,155723807;0,002715323;298,9685959;300,8303932;239,8997603;0,528067497;3,444098512;37,11353206;20,52881335;25,81859589;3,338207549;0,128717568;1,539045244;1,799162304;0,080747296;17,66508083;0,492254428;44,62360407;382,638388;0,017576154
7;14:42:41;;c26;0;982,5;1;18,74241749;0,124162181;224,6719708;2,669427983;1,988984658;26,72910633;2,6;5;0;5;27,73941231;26,20775986;27,95502281;501,1080322;483,7732239;14,25459671;16,52622032;35,39245605;41,03262329;300,4816589;1499,325317;230,2701416;92,79941559;16,91073227;0,590338111;1;0;5;1;0;0,159999996;111115;1,155698688;0,002669428;299,3577599;300,8894123;239,8920454;0,521346468;3,522608245;37,95937963;21,4331593;26,20775986;3,415964397;0,121153641;1,533623588;1,882340809;0,075985697;20,84942759;0,464415887;43,36175741;478,7127712;0,016976864
8;14:44:42;;c26;0;1103,5;1;27,7113291;0,118727937;372,9912939;2,635800625;2,050997789;27,03239467;2,6;5;0;5;27,82216072;26,51359177;27,95722961;800,5708618;774,8273315;14,29724884;16,54008484;35,32878876;40,87088394;300,5003967;1501,959717;215,1983643;92,80347443;16,91073227;0,590338111;1;0;5;1;0;0,159999996;111115;1,155770757;0,002635801;299,6635918;300,9721607;240,3135493;0,518802908;3,585975129;38,64052667;22,10044184;26,51359177;3,478176426;0,115974065;1,53497734;1,943199086;0,072726279;34,614888;0,481386341;42,54648601;767,3452727;0,015364917
9;14:46:43;;c26;0;1224,5;1;32,24263717;0,117659343;496,779877;2,549575867;2,002240104;26,7803585;2,6;5;0;5;27,81116295;26,23767662;27,91539001;1000,052979;970,0079956;14,3262949;16,49644279;35,42515182;40,79135513;300,419342;1499,010254;204,9834442;92,80832672;16,91073227;0,590338111;1;0;5;1;0;0,159999996;111115;1,155459008;0,002549576;299,3876766;300,9611629;239,8416353;0,542681882;3,533247357;38,07037021;21,57392741;26,23767662;3,422006848;0,114954255;1,531007253;1,890999596;0,072084644;46,10530913;0,512139982;43,0813725;961,3024836;0,01444974
10;14:49:20;;c26;0;1381,5;1;36,88079822;0,110691977;881,3558013;2,351967651;1,961618792;26,49439588;2,6;5;0;5;27,68720436;25,90999794;27,93605995;1500,196411;1465,199097;14,28938866;16,29725647;35,59305191;40,5943985;299,5942383;1499,879028;187,963913;92,81463623;16,91073227;0,590338111;1;0;5;1;0;0,159999996;111115;1,152285532;0,002351968;299,0599979;300,8372044;239,9806392;0,584397942;3,474242723;37,43205667;21,1348002;25,90999794;3,356329829;0,108294511;1,512623931;1,843705898;0,06789546;81,80271809;0,601526307;43,23619383;1455,241281;0,010957532
1;15:26:06;;c31;0;137,5;1;9,463346405;0,084300584;198,8494817;1,835990006;1,999680214;26,6170597;2,7;5;0;5;28,54465103;25,91097832;27,93593788;400,6660156;391,4880371;14,53418159;16,16236305;34,4313736;38,28852463;299,539917;1498,809082;77,41395569;92,79375458;16,94842148;0,577015281;1;0;5;1;0;0,159999996;111115;1,1094071;0,00183599;299,0609783;301,694651;239,8094478;0,706081379;3,499446565;37,71209152;21,54972846;25,91097832;3,356524673;0,082902832;1,49976635;1,856758322;0,051938062;18,45199;0,50793246;42,24905281;388,9329336;0,010279855
2;15:28:10;;c31;0;261,5;1;6,495695048;0,087981791;165,6182494;1,872880341;1,955946386;26,50415349;2,7;5;0;5;28,60392761;25,79627419;27,94478989;299,8113708;293,461853;14,72340488;16,38366508;34,75968552;38,67930603;299,5872803;1499,292358;89,35153198;92,79336548;16,94842148;0,577015281;1;0;5;1;0;0,159999996;111115;1,10958252;0,00187288;298,9462742;301,7539276;239,886772;0,707879306;3,476241808;37,46218052;21,07851543;25,79627419;3,333794834;0,086460402;1,520295422;1,813499411;0,05417241;15,36827475;0,564360402;43,17699698;291,7080154;0,009614566
3;15:30:40;;c31;0;411,5;1;1,022841054;0,100317035;194,9547395;2,08545945;1,914266641;26,48334395;2,7;5;0;5;28,55210495;25,81207848;27,96435547;219,8764648;218,5437469;14,94012356;16,78826332;35,37471771;39,75067902;299,5558167;1501,417847;92,84094238;92,78583527;19,52735519;0,566881537;1;0;5;1;0;0,159999996;111115;1,109465988;0,002085459;298,9620785;301,7021049;240,2268501;0,671265474;3,471979676;37,41928567;20,63102235;25,81207848;3,336918613;0,098343921;1,557713035;1,779205578;0,061639228;18,08903835;0,892062767;44,44392313;218,2675799;0,002082722
4;15:33:10;;c31;0;561,5;1;-0,466308043;0,113850948;142,2155283;2,277581678;1,847191486;26,28295403;2,7;5;0;5;28,57641602;25,63507271;27,93954849;140,0092621;140,141449;15,05941772;17,07082367;35,60795593;40,3639183;300,5108948;1500,519775;78,20909119;92,78861237;18,28043747;0,569906592;1;0;5;1;0;0,159999996;111115;1,113003314;0,002277582;298,7850727;301,726416;240,0831587;0,647881321;3,431169526;36,97834722;19,90752355;25,63507271;3,302078344;0,111316255;1,58397804;1,718100303;0,069796031;13,19598153;1,014799899;45,90092813;140,2673521;-0,001525941
5;15:35:40;;c31;0;711,5;1;-2,085126523;0,117993125;88,23368813;2,30730817;1,807488605;26,10049255;2,7;5;0;5;28,40511513;25,45804405;27,93609428;60,0367012;61,78203201;15,06387138;17,10144806;35,97618103;40,84241104;300,5135803;1499,470459;77,5839386;92,79254913;16,92917252;0,570097327;0,666666687;0;5;1;0;0,159999996;111115;1,11301326;0,002307308;298,6080441;301,5551151;239,9152681;0,642448498;3,394375564;36,5802599;19,47881184;25,45804405;3,267551823;0,115272845;1,586886959;1,680664864;0,072285087;8,187428841;1,428144806;46,54330395;62,34501617;-0,015566389
6;15:38:09;;c31;0;860,5;1;9,614554039;0,117510601;247,4473271;2,231495298;1,755676281;25,80242792;2,7;5;0;5;28,40558434;25,13354874;27,95792389;400,3059998;390,8840332;15,05008125;17,02086258;35,9405632;40,64691544;300,5146179;1499,501587;90,48364258;92,78816223;16,92917252;0,570097327;1;0;5;1;0;0,159999996;111115;1,113017103;0,002231495;298,2835487;301,5555843;239,9202485;0,668879184;3,335010839;35,94220167;18,92133909;25,13354874;3,205082603;0,11481227;1,579334558;1,625748045;0,071995314;22,96018273;0,633045369;47,16590767;388,2881036;0,011678935
7;15:40:17;;c31;0;988,5;1;11,91604098;0,107188485;295,2733684;2,128007565;1,831136152;26,13630661;2,7;5;0;5;28,37520981;25,46492386;27,921978;500,7374573;489,0951233;15,04573536;16,92548752;35,99251938;40,48927689;300,4849854;1501,306274;92,23677826;92,78516388;16,92917252;0,570097327;1;0;5;1;0;0,159999996;111115;1,112907353;0,002128008;298,6149239;301,5252098;240,2089985;0,671382756;3,401570285;36,66071323;19,73522571;25,46492386;3,268887702;0,104938838;1,570434133;1,698453569;0,065785247;27,39698788;0,603713581;45,84679975;485,8777922;0,011243822
8;15:42:18;;c31;0;1110;1;17,14373001;0,100821529;486,0990797;2,026293313;1,851300176;26,181968;2,7;5;0;5;28,33228683;25,498209;27,9385891;800,4593506;783,62854;15,01830673;16,80838013;36,01422882;40,30686951;300,4923401;1499,610474;85,6647644;92,778862;16,92917252;0,570097327;1;0;5;1;0;0,159999996;111115;1,112934593;0,002026293;298,648209;301,4822868;239,9376704;0,683759001;3,410762556;36,76228057;19,95390045;25,498209;3,275357548;0,098828717;1,55946238;1,715895168;0,061943951;45,09971943;0,620318244;45,33031329;778,9997329;0,009976007
9;15:44:19;;c31;0;1231;1;19,57280954;0,092938229;611,5506413;1,935405384;1,914625609;26,4697822;2,7;5;0;5;28,31691742;25,78439522;27,95297813;1000,117065;980,824646;15,04665184;16,75653076;36,1127739;40,21657562;300,4909668;1499,127197;82,48671722;92,77450562;16,92917252;0,570097327;1;0;5;1;0;0,159999996;111115;1,112929507;0,001935405;298,9343952;301,4669174;239,8603462;0,685386982;3,469204466;37,39394183;20,63741107;25,78439522;3,331448591;0,09124225;1,554578857;1,776869734;0,057176392;56,73630841;0,623506601;44,3101171;975,5399874;0,008890189
10;15:46:49;;c31;0;1381;1;22,38157891;0,085637376;1011,490784;1,813027573;1,943393118;26,60188856;2,7;5;0;5;28,4433918;25,8948822;27,93896675;1501,100708;1478,580322;15,13694859;16,73882294;36,0631752;39,87957382;300,4751892;1500,349854;79,62852478;92,77400208;16,92917252;0,570097327;1;0;5;1;0;0,159999996;111115;1,112871071;0,001813028;299,0448822;301,5933918;240,0559712;0,707006355;3,496320711;37,68642759;20,94760465;25,8948822;3,353326915;0,084195323;1,552927594;1,800399321;0,052749764;93,84004811;0,684095932;43,8233178;1472,537296;0,00666085
1;15:54:21;;c33;0;135,5;1;16,52515363;0,21608766;247,9831523;3,877877179;1,688167578;26,3164758;2,8;5;0;5;28,38910866;25,95358086;27,89581299;401,0715027;384,2830811;15,31671524;18,86232567;36,60395813;45,07727432;300,4630127;1500,214233;109,2498398;92,76689911;16,92917252;0,570097327;1;0;5;1;0;0,159999996;111115;1,073082188;0,003877877;299,1035809;301,5391087;240,034272;0,362894943;3,43796704;37,06027768;18,19795201;25,95358086;3,365001225;0,207135764;1,749799462;1,615201763;0,130235424;23,00462807;0,64531374;51,57658501;379,8212896;0,02243979
2;15:56:59;;c33;0;293,5;1;11,79628754;0,221280373;192,6485798;3,868217033;1,646579066;26,0901569;2,8;5;0;5;28,294487;25,71982193;27,92996407;300,1863403;288,1542969;15,28084469;18,81790352;36,7206459;45,22037506;300,4527588;1500,132935;76,73537445;92,76924133;16,92917252;0,570097327;1;0;5;1;0;0,159999996;111115;1,073045567;0,003868217;298,8698219;301,444487;240,0212642;0,370334973;3,392301699;36,56709541;17,74919189;25,71982193;3,318719786;0,211902404;1,745722633;1,572997153;0,133250792;17,87186259;0,668560497;52,19454308;284,9692992;0,021605901
3;15:59:00;;c33;0;414,5;1;7,755420087;0,220040883;148,6281409;3,842630137;1,644701545;26,03558295;2,8;5;0;5;28,22612762;25,66189003;27,95060539;220,3663025;212,3792419;15,20661926;18,72020721;36,68809509;45,16511536;300,4890442;1499,577393;76,29553986;92,76970673;16,92917252;0,570097327;1;0;5;1;0;0,159999996;111115;1,073175158;0,00384263;298,81189;301,3761276;239,9323774;0,373692915;3,381369679;36,44907155;17,72886434;25,66189003;3,307336318;0,210765478;1,736668133;1,570668185;0,132531499;13,78818904;0,699824237;52,08861382;210,2852785;0,019210526
4;16:01:32;;c33;0;566,5;1;1,354254461;0,224904102;124,4457628;3,832506911;1,606854647;25,82029967;2,8;5;0;5;28,56671143;25,41966629;27,93399429;139,9247131;138,1691742;15,16122246;18,66614151;35,86233902;44,15287018;300,4552307;1499,390381;85,52292633;92,77171326;18,44977188;0,524298072;1;0;5;1;0;0,159999996;111115;1,073054395;0,003832507;298,5696663;301,7167114;239,9024556;0,400633381;3,338544575;35,98666509;17,32052358;25,41966629;3,260108612;0,215223187;1,731689928;1,528418684;0,135352005;11,54504662;0,90067675;52,64738501;137,8035255;0,005173885
